age,workclass,fnlwgt,education,education_no_of_years,marital_status,occupation,sex,capital_gain,capital_loss,working_hours_per_week,native_contienent,salary
39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Male,2174,0,40,north_america,166273
50,Self-emp-not-inc,83311,Bachelors,13,married,Exec-managerial,Male,0,0,13,north_america,152897
38,Private,215646,HS-grad,9,not_married,Handlers-cleaners,Male,0,0,40,north_america,82536
53,Private,234721,11th,7,married,Handlers-cleaners,Male,0,0,40,north_america,243383
28,Private,338409,Bachelors,13,married,Prof-specialty,Female,0,0,40,north_america,143237
37,Private,284582,Masters,14,married,Exec-managerial,Female,0,0,40,north_america,258025
49,Private,160187,9th,5,not_married,Other-service,Female,0,0,16,north_america,209727
52,Self-emp-not-inc,209642,HS-grad,9,married,Exec-managerial,Male,0,0,45,north_america,288502
31,Private,45781,Masters,14,Never-married,Prof-specialty,Female,14084,0,50,north_america,244756
42,Private,159449,Bachelors,13,married,Exec-managerial,Male,5178,0,40,north_america,141817
37,Private,280464,Some-college,10,married,Exec-managerial,Male,0,0,80,north_america,59570
30,State-gov,141297,Bachelors,13,married,Prof-specialty,Male,0,0,40,asia,226395
23,Private,122272,Bachelors,13,Never-married,Adm-clerical,Female,0,0,30,north_america,122078
32,Private,205019,Assoc-acdm,12,Never-married,Sales,Male,0,0,50,north_america,156224
40,Private,121772,Assoc-voc,11,married,Craft-repair,Male,0,0,40,other,218547
34,Private,245487,7th-8th,4,married,Transport-moving,Male,0,0,45,north_america,37566
25,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Male,0,0,35,north_america,38744
32,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Male,0,0,40,north_america,70206
38,Private,28887,11th,7,married,Sales,Male,0,0,50,north_america,184119
43,Self-emp-not-inc,292175,Masters,14,not_married,Exec-managerial,Female,0,0,45,north_america,86584
40,Private,193524,Doctorate,16,married,Prof-specialty,Male,0,0,60,north_america,65973
54,Private,302146,HS-grad,9,not_married,Other-service,Female,0,0,20,north_america,155417
35,Federal-gov,76845,9th,5,married,Farming-fishing,Male,0,0,40,north_america,288350
43,Private,117037,11th,7,married,Transport-moving,Male,0,2042,40,north_america,57139
59,Private,109015,HS-grad,9,not_married,Tech-support,Female,0,0,40,north_america,292900
56,Local-gov,216851,Bachelors,13,married,Tech-support,Male,0,0,40,north_america,29571
19,Private,168294,HS-grad,9,Never-married,Craft-repair,Male,0,0,40,north_america,39028
54,Unknown,180211,Some-college,10,married,Unknown,Male,0,0,60,other,34895
39,Private,367260,HS-grad,9,not_married,Exec-managerial,Male,0,0,80,north_america,153586
49,Private,193366,HS-grad,9,married,Craft-repair,Male,0,0,40,north_america,136164
23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Male,0,0,52,north_america,43209
20,Private,266015,Some-college,10,Never-married,Sales,Male,0,0,44,north_america,256460
45,Private,386940,Bachelors,13,not_married,Exec-managerial,Male,0,1408,40,north_america,122989
30,Federal-gov,59951,Some-college,10,married,Adm-clerical,Male,0,0,40,north_america,223148
22,State-gov,311512,Some-college,10,married,Other-service,Male,0,0,15,north_america,86083
48,Private,242406,11th,7,Never-married,Machine-op-inspct,Male,0,0,40,north_america,130021
21,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Male,0,0,40,north_america,264399
19,Private,544091,HS-grad,9,married,Adm-clerical,Female,0,0,25,north_america,90806
31,Private,84154,Some-college,10,married,Sales,Male,0,0,38,other,46549
48,Self-emp-not-inc,265477,Assoc-acdm,12,married,Prof-specialty,Male,0,0,40,north_america,125302
31,Private,507875,9th,5,married,Machine-op-inspct,Male,0,0,43,north_america,126602
53,Self-emp-not-inc,88506,Bachelors,13,married,Prof-specialty,Male,0,0,40,north_america,226871
24,Private,172987,Bachelors,13,married,Tech-support,Male,0,0,50,north_america,229666
49,Private,94638,HS-grad,9,not_married,Adm-clerical,Female,0,0,40,north_america,67486
25,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Male,0,0,35,north_america,32354
57,Federal-gov,337895,Bachelors,13,married,Prof-specialty,Male,0,0,40,north_america,212369
53,Private,144361,HS-grad,9,married,Machine-op-inspct,Male,0,0,38,north_america,229598
44,Private,128354,Masters,14,not_married,Exec-managerial,Female,0,0,40,north_america,291893
41,State-gov,101603,Assoc-voc,11,married,Craft-repair,Male,0,0,40,north_america,275835
29,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Male,0,0,43,north_america,298813
25,Private,32275,Some-college,10,married,Exec-managerial,Female,0,0,40,north_america,128748
18,Private,226956,HS-grad,9,Never-married,Other-service,Female,0,0,30,other,248973
47,Private,51835,Prof-school,15,married,Prof-specialty,Female,0,1902,60,north_america,95079
50,Federal-gov,251585,Bachelors,13,not_married,Exec-managerial,Male,0,0,55,north_america,177708
47,Self-emp-inc,109832,HS-grad,9,not_married,Exec-managerial,Male,0,0,60,north_america,202018
43,Private,237993,Some-college,10,married,Tech-support,Male,0,0,40,north_america,205348
46,Private,216666,5th-6th,3,married,Machine-op-inspct,Male,0,0,40,north_america,50816
35,Private,56352,Assoc-voc,11,married,Other-service,Male,0,0,40,north_america,49332
41,Private,147372,HS-grad,9,married,Adm-clerical,Male,0,0,48,north_america,58949
30,Private,188146,HS-grad,9,married,Machine-op-inspct,Male,5013,0,40,north_america,61239
30,Private,59496,Bachelors,13,married,Sales,Male,2407,0,40,north_america,106152
32,Unknown,293936,7th-8th,4,not_married,Unknown,Male,0,0,40,other,47696
48,Private,149640,HS-grad,9,married,Transport-moving,Male,0,0,40,north_america,99942
42,Private,116632,Doctorate,16,married,Prof-specialty,Male,0,0,45,north_america,291373
29,Private,105598,Some-college,10,not_married,Tech-support,Male,0,0,58,north_america,211722
36,Private,155537,HS-grad,9,married,Craft-repair,Male,0,0,40,north_america,168282
28,Private,183175,Some-college,10,not_married,Adm-clerical,Female,0,0,40,north_america,297566
53,Private,169846,HS-grad,9,married,Adm-clerical,Female,0,0,40,north_america,131670
49,Self-emp-inc,191681,Some-college,10,married,Exec-managerial,Male,0,0,50,north_america,112650
25,Unknown,200681,Some-college,10,Never-married,Unknown,Male,0,0,40,north_america,78150
19,Private,101509,Some-college,10,Never-married,Prof-specialty,Male,0,0,32,north_america,209249
31,Private,309974,Bachelors,13,not_married,Sales,Female,0,0,40,north_america,144081
29,Self-emp-not-inc,162298,Bachelors,13,married,Sales,Male,0,0,70,north_america,201343
23,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Male,0,0,40,north_america,241689
79,Private,124744,Some-college,10,married,Prof-specialty,Male,0,0,20,north_america,95127
27,Private,213921,HS-grad,9,Never-married,Other-service,Male,0,0,40,north_america,277566
40,Private,32214,Assoc-acdm,12,married,Adm-clerical,Male,0,0,40,north_america,213778
67,Unknown,212759,10th,6,married,Unknown,Male,0,0,2,north_america,264995
18,Private,309634,11th,7,Never-married,Other-service,Female,0,0,22,north_america,68562
31,Local-gov,125927,7th-8th,4,married,Farming-fishing,Male,0,0,40,north_america,65517
18,Private,446839,HS-grad,9,Never-married,Sales,Male,0,0,30,north_america,119832
52,Private,276515,Bachelors,13,married,Other-service,Male,0,0,40,north_america,143763
46,Private,51618,HS-grad,9,married,Other-service,Female,0,0,40,north_america,91495
59,Private,159937,HS-grad,9,married,Sales,Male,0,0,48,north_america,227519
44,Private,343591,HS-grad,9,not_married,Craft-repair,Female,14344,0,40,north_america,221218
53,Private,346253,HS-grad,9,not_married,Sales,Female,0,0,35,north_america,277449
49,Local-gov,268234,HS-grad,9,married,Protective-serv,Male,0,0,40,north_america,173305
33,Private,202051,Masters,14,married,Prof-specialty,Male,0,0,50,north_america,150137
30,Private,54334,9th,5,Never-married,Sales,Male,0,0,40,north_america,71298
43,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Female,0,0,50,north_america,123431
57,Private,249977,Assoc-voc,11,married,Prof-specialty,Male,0,0,40,north_america,282507
37,Private,286730,Some-college,10,not_married,Craft-repair,Female,0,0,40,north_america,100145
28,Private,212563,Some-college,10,not_married,Machine-op-inspct,Female,0,0,25,north_america,53414
30,Private,117747,HS-grad,9,married,Sales,Female,0,1573,35,other,73055
34,Local-gov,226296,Bachelors,13,married,Protective-serv,Male,0,0,40,north_america,58401
29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Male,0,0,50,north_america,145885
48,Self-emp-not-inc,191277,Doctorate,16,married,Prof-specialty,Male,0,1902,60,north_america,268629
37,Private,202683,Some-college,10,married,Sales,Male,0,0,48,north_america,75379
48,Private,171095,Assoc-acdm,12,not_married,Exec-managerial,Female,0,0,40,europe,46836
32,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Male,0,0,40,north_america,164850
76,Private,124191,Masters,14,married,Exec-managerial,Male,0,0,40,north_america,45467
44,Private,198282,Bachelors,13,married,Exec-managerial,Male,15024,0,60,north_america,43719
47,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Female,0,0,50,north_america,232167
20,Private,188300,Some-college,10,Never-married,Tech-support,Female,0,0,40,north_america,111303
29,Private,103432,HS-grad,9,Never-married,Craft-repair,Male,0,0,40,north_america,66322
32,Self-emp-inc,317660,HS-grad,9,married,Craft-repair,Male,7688,0,40,north_america,144235
17,Unknown,304873,10th,6,Never-married,Unknown,Female,34095,0,32,north_america,81184
30,Private,194901,11th,7,Never-married,Handlers-cleaners,Male,0,0,40,north_america,101002
31,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Female,0,0,40,north_america,245175
42,Private,124692,HS-grad,9,married,Handlers-cleaners,Male,0,0,40,north_america,106833
24,Private,432376,Bachelors,13,Never-married,Sales,Male,0,0,40,north_america,294997
38,Private,65324,Prof-school,15,married,Prof-specialty,Male,0,0,40,north_america,142631
56,Self-emp-not-inc,335605,HS-grad,9,married,Other-service,Male,0,1887,50,north_america,121213
28,Private,377869,Some-college,10,married,Sales,Female,4064,0,25,north_america,255908
36,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Female,0,0,40,north_america,65282
53,Private,95647,9th,5,married,Handlers-cleaners,Male,0,0,50,north_america,293873
56,Self-emp-inc,303090,Some-college,10,married,Sales,Male,0,0,50,north_america,260381
49,Local-gov,197371,Assoc-voc,11,married,Craft-repair,Male,0,0,40,north_america,282795
55,Private,247552,Some-college,10,married,Sales,Male,0,0,56,north_america,290442
22,Private,102632,HS-grad,9,Never-married,Craft-repair,Male,0,0,41,north_america,106937
21,Private,199915,Some-college,10,Never-married,Other-service,Female,0,0,40,north_america,290858
40,Private,118853,Bachelors,13,married,Exec-managerial,Male,0,0,60,north_america,116151
30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Male,0,0,40,europe,175048
29,State-gov,267989,Bachelors,13,married,Prof-specialty,Male,0,0,50,north_america,85686
19,Private,301606,Some-college,10,Never-married,Other-service,Male,0,0,35,north_america,50712
47,Private,287828,Bachelors,13,married,Exec-managerial,Female,0,0,40,north_america,39369
20,Private,111697,Some-college,10,Never-married,Adm-clerical,Female,0,1719,28,north_america,104498
31,Private,114937,Assoc-acdm,12,married,Adm-clerical,Male,0,0,40,north_america,241164
35,Unknown,129305,HS-grad,9,married,Unknown,Male,0,0,40,north_america,255285
39,Private,365739,Some-college,10,not_married,Craft-repair,Male,0,0,40,north_america,271177
